Phi [deg],dB(GainTotal) - Theta=90deg Freq=120MHz,dB(GainTotal) - Theta=90deg Freq=150MHz,dB(GainTotal) - Theta=90deg Freq=225MHz,dB(GainTotal) - Theta=90deg Freq=300MHz
-180.00000,1.93481,1.30501,2.30207,1.37326
-179.00000,1.92709,1.28785,2.33017,1.36963
-178.00000,1.91914,1.27302,2.36643,1.37075
-177.00000,1.91101,1.26076,2.41026,1.37638
-176.00000,1.90271,1.25131,2.46085,1.38602
-175.00000,1.89428,1.24492,2.51724,1.39893
-174.00000,1.88577,1.24185,2.57829,1.41413
-173.00000,1.87721,1.24235,2.64270,1.43050
-172.00000,1.86863,1.24669,2.70907,1.44679
-171.00000,1.86008,1.25509,2.77585,1.46172
-170.00000,1.85158,1.26777,2.84143,1.47402
-169.00000,1.84318,1.28493,2.90412,1.48247
-168.00000,1.83491,1.30672,2.96222,1.48597
-167.00000,1.82680,1.33326,3.01402,1.48356
-166.00000,1.81890,1.36461,3.05784,1.47449
-165.00000,1.81124,1.40078,3.09207,1.45820
-164.00000,1.80384,1.44174,3.11521,1.43439
-163.00000,1.79675,1.48735,3.12589,1.40304
-162.00000,1.79000,1.53744,3.12291,1.36437
-161.00000,1.78360,1.59176,3.10524,1.31894
-160.00000,1.77760,1.64999,3.07211,1.26759
-159.00000,1.77201,1.71173,3.02300,1.21146
-158.00000,1.76685,1.77652,2.95767,1.15202
-157.00000,1.76215,1.84385,2.87620,1.09101
-156.00000,1.75793,1.91316,2.77902,1.03037
-155.00000,1.75419,1.98383,2.66691,0.97223
-154.00000,1.75094,2.05521,2.54108,0.91874
-153.00000,1.74819,2.12661,2.40312,0.87193
-152.00000,1.74594,2.19736,2.25507,0.83355
-151.00000,1.74418,2.26673,2.09937,0.80487
-150.00000,1.74292,2.33403,1.93886,0.78651
-149.00000,1.74214,2.39856,1.77676,0.77831
-148.00000,1.74183,2.45966,1.61658,0.77927
-147.00000,1.74196,2.51668,1.46204,0.78755
-146.00000,1.74252,2.56901,1.31695,0.80059
-145.00000,1.74349,2.61608,1.18508,0.81527
-144.00000,1.74483,2.65737,1.07000,0.82814
-143.00000,1.74651,2.69241,0.97487,0.83563
-142.00000,1.74850,2.72079,0.90234,0.83432
-141.00000,1.75077,2.74214,0.85436,0.82110
